,name,planet_mass,stellar_magnitude,planet_type,planet_radius,eccentricity
3278,Kepler-603 d,2.3 Earths,14.816,Super Earth,1.32 x Earth,0
3279,Kepler-604 b,7.22 Earths,14.68,Neptune-like,0.231 x Jupiter,0
3280,Kepler-605 b,2.67 Earths,14.136,Super Earth,1.44 x Earth,0
3281,Kepler-605 c,0.566 Earths,14.136,Terrestrial,0.86 x Earth,0
3282,Kepler-606 b,11 Earths,14.664,Neptune-like,0.295 x Jupiter,0
3283,Kepler-607 b,0.59 Earths,14.375,Terrestrial,0.87 x Earth,0
3284,Kepler-608 b,12.9 Earths,14.657,Neptune-like,0.325 x Jupiter,0
3285,Kepler-609 b,11.2 Earths,14.804,Neptune-like,0.299 x Jupiter,0
3286,Kepler-60 b,4.19 Earths,13.913,Super Earth,1.71 x Earth,0.01
3287,Kepler-60 c,3.85 Earths,13.913,Super Earth,1.9 x Earth,0.03
3288,Kepler-60 d,4.16 Earths,13.913,Neptune-like,1.99 x Earth,0.02
3289,Kepler-610 b,16.3 Earths,14.77,Neptune-like,0.374 x Jupiter,0
3290,Kepler-610 c,10.9 Earths,14.77,Neptune-like,0.294 x Jupiter,0
3291,Kepler-611 b,3.36 Earths,14.572,Super Earth,1.65 x Earth,0
3292,Kepler-612 b,8.45 Earths,14.91,Neptune-like,0.253 x Jupiter,0
3293,Kepler-613 b,5.86 Earths,14.589,Neptune-like,0.204 x Jupiter,0
3294,Kepler-614 b,6.3 Earths,14.544,Neptune-like,0.213 x Jupiter,0
3295,Kepler-615 b,3.68 Earths,14.349,Super Earth,1.74 x Earth,0
3296,Kepler-616 b,6.48 Earths,14.947,Neptune-like,0.217 x Jupiter,0
3297,Kepler-616 c,11.5 Earths,14.947,Neptune-like,0.304 x Jupiter,0
3298,Kepler-617 b,2.3 Earths,14.828,Super Earth,1.32 x Earth,0
3299,Kepler-618 b,7.27 Earths,14.804,Neptune-like,0.232 x Jupiter,0
3300,Kepler-619 b,10.1 Earths,14.67,Neptune-like,0.282 x Jupiter,0
3301,Kepler-619 c,3.5 Earths,14.67,Super Earth,1.69 x Earth,0
3302,Kepler-61 b,5.27 Earths,15.043,Neptune-like,2.15 x Earth,< 0.25
3303,Kepler-620 b,11 Earths,14.638,Neptune-like,0.296 x Jupiter,0
3304,Kepler-621 b,5.9 Earths,14.896,Neptune-like,0.205 x Jupiter,0
3305,Kepler-622 b,5.18 Earths,14.652,Neptune-like,2.13 x Earth,0
3306,Kepler-623 b,9.32 Earths,14.963,Neptune-like,0.269 x Jupiter,0
3307,Kepler-624 b,5.95 Earths,13.457,Neptune-like,0.206 x Jupiter,0
3308,Kepler-625 b,4.62 Earths,13.264,Super Earth,1.99 x Earth,0
3309,Kepler-625 c,1.16 Earths,13.264,Super Earth,1.05 x Earth,0
3310,Kepler-626 b,5.86 Earths,13.943,Neptune-like,0.204 x Jupiter,0
3311,Kepler-627 b,13.4 Earths,13.949,Neptune-like,0.333 x Jupiter,0
3312,Kepler-628 b,0.168 Jupiters,13.056,Gas Giant,0.749 x Jupiter,0
3313,Kepler-629 b,2.48 Earths,13.358,Super Earth,1.38 x Earth,0
3314,Kepler-62 b,9 Earths,13.72,Super Earth,1.31 x Earth,0
3315,Kepler-62 c,4 Earths,13.72,Terrestrial,0.54 x Earth,0
3316,Kepler-62 d,14 Earths,13.72,Neptune-like,1.95 x Earth,0
3317,Kepler-62 e,36 Earths,13.72,Super Earth,1.61 x Earth,0
3318,Kepler-62 f,35 Earths,13.72,Super Earth,1.41 x Earth,0
3319,Kepler-630 b,10.2 Earths,13.852,Neptune-like,0.284 x Jupiter,0
3320,Kepler-631 b,8.75 Earths,13.493,Neptune-like,0.259 x Jupiter,0
3321,Kepler-632 b,5.52 Earths,13.332,Neptune-like,2.21 x Earth,0
3322,Kepler-633 b,3.29 Earths,13.716,Super Earth,1.63 x Earth,0
3323,Kepler-634 b,4.23 Earths,13.492,Super Earth,1.89 x Earth,0
3324,Kepler-635 b,7.46 Earths,13.264,Neptune-like,0.236 x Jupiter,0
3325,Kepler-636 b,18.1 Earths,13.653,Neptune-like,0.397 x Jupiter,0
3326,Kepler-637 b,20.2 Earths,13.329,Neptune-like,0.424 x Jupiter,0
3327,Kepler-638 b,4.01 Earths,13.519,Super Earth,1.83 x Earth,0
3328,Kepler-639 b,6.26 Earths,13.269,Neptune-like,0.212 x Jupiter,0
3329,Kepler-63 b,0.378 Jupiters,12.02,Gas Giant,0.545 x Jupiter,< 0.45
3330,Kepler-640 b,7.08 Earths,13.687,Neptune-like,0.228 x Jupiter,0
3331,Kepler-641 b,4.08 Earths,13.763,Super Earth,1.85 x Earth,0
3332,Kepler-642 b,8.75 Earths,13.295,Neptune-like,0.259 x Jupiter,0
3333,Kepler-643 b,1.01 Jupiters,13.769,Gas Giant,0.906 x Jupiter,0.37
3334,Kepler-644 b,10.1 Earths,13.96,Neptune-like,0.281 x Jupiter,0
3335,Kepler-645 b,5.06 Earths,14.031,Neptune-like,2.1 x Earth,0
3336,Kepler-646 b,4.62 Earths,13.765,Super Earth,1.99 x Earth,0
3337,Kepler-647 b,1.71 Earths,13.935,Super Earth,1.17 x Earth,0
3338,Kepler-647 c,15.1 Earths,13.935,Neptune-like,0.357 x Jupiter,0
3339,Kepler-648 b,10.5 Earths,13.915,Neptune-like,0.287 x Jupiter,0
3340,Kepler-649 b,5.73 Earths,13.394,Neptune-like,0.202 x Jupiter,0
3341,Kepler-650 b,9.06 Earths,14.124,Neptune-like,0.264 x Jupiter,0
3342,Kepler-651 b,6.21 Earths,13.962,Neptune-like,0.211 x Jupiter,0
3343,Kepler-652 b,6.76 Earths,13.435,Neptune-like,0.222 x Jupiter,0
3344,Kepler-653 b,4.46 Earths,13.346,Super Earth,1.95 x Earth,0
3345,Kepler-653 c,0.399 Earths,13.346,Terrestrial,0.78 x Earth,0
3346,Kepler-654 b,4.94 Earths,13.661,Super Earth,2.07 x Earth,0
3347,Kepler-655 b,7.8 Earths,13.464,Neptune-like,0.242 x Jupiter,0
3348,Kepler-656 b,9.91 Earths,15.337,Neptune-like,0.278 x Jupiter,0
3349,Kepler-657 b,12.2 Earths,15.319,Neptune-like,0.314 x Jupiter,0
3350,Kepler-658 b,3.29 Earths,15.491,Super Earth,1.63 x Earth,0
3351,Kepler-659 b,6.8 Earths,15.566,Neptune-like,0.223 x Jupiter,0
3352,Kepler-65 b,2.4 Earths,10.966,Super Earth,1.42 x Earth,0.03
3353,Kepler-65 c,5.4 Earths,10.966,Neptune-like,0.23 x Jupiter,0.02
3354,Kepler-65 d,4.14 Earths,10.966,Super Earth,1.52 x Earth,0.01
3355,Kepler-65 e,0.82 Jupiters,10.966,Gas Giant,1.24 x Jupiter,0.28
3356,Kepler-660 b,7.13 Earths,15.264,Neptune-like,0.229 x Jupiter,0
3357,Kepler-661 b,9.64 Earths,15.8,Neptune-like,0.274 x Jupiter,0
3358,Kepler-662 b,5.39 Earths,15.374,Neptune-like,2.18 x Earth,0
3359,Kepler-663 b,7.27 Earths,15.869,Neptune-like,0.232 x Jupiter,0
3360,Kepler-664 b,7.56 Earths,15.499,Neptune-like,0.237 x Jupiter,0
3361,Kepler-665 b,7.27 Earths,15.402,Neptune-like,0.232 x Jupiter,0
3362,Kepler-666 b,6.35 Earths,15.341,Neptune-like,0.214 x Jupiter,0
3363,Kepler-667 b,20.1 Earths,15.362,Neptune-like,0.422 x Jupiter,0
3364,Kepler-668 b,7.75 Earths,15.293,Neptune-like,0.241 x Jupiter,0
3365,Kepler-669 b,20.8 Earths,15.482,Neptune-like,0.431 x Jupiter,0
3366,Kepler-66 b,8.25 Earths,15.3,Neptune-like,0.25 x Jupiter,0
3367,Kepler-670 b,Unknown,15.027,Gas Giant,1.176 x Jupiter,0
3368,Kepler-671 b,7.7 Earths,15.358,Neptune-like,0.24 x Jupiter,0
3369,Kepler-672 b,6.8 Earths,15.131,Neptune-like,0.223 x Jupiter,0
3370,Kepler-673 b,34.8 Earths,15.506,Neptune-like,0.583 x Jupiter,0
3371,Kepler-674 b,3.5 Earths,15.127,Super Earth,1.69 x Earth,0
3372,Kepler-675 b,6.53 Earths,15.336,Neptune-like,0.218 x Jupiter,0
3373,Kepler-676 b,9.48 Earths,15.879,Neptune-like,0.271 x Jupiter,0
3374,Kepler-677 b,25 Earths,15.297,Neptune-like,0.48 x Jupiter,0
3375,Kepler-678 b,23.1 Earths,15.061,Neptune-like,0.459 x Jupiter,0
3376,Kepler-679 b,9.32 Earths,15.529,Neptune-like,0.269 x Jupiter,0
3377,Kepler-67 b,8.96 Earths,16.4,Neptune-like,0.262 x Jupiter,0
3378,Kepler-680 b,6.44 Earths,15.215,Neptune-like,0.216 x Jupiter,0
3379,Kepler-681 b,9.69 Earths,15.227,Neptune-like,0.275 x Jupiter,0
3380,Kepler-682 b,0.134 Jupiters,15.117,Gas Giant,0.658 x Jupiter,0
3381,Kepler-683 b,4.54 Earths,15.001,Super Earth,1.97 x Earth,0
3382,Kepler-684 b,11.2 Earths,15.579,Neptune-like,0.3 x Jupiter,0
3383,Kepler-685 b,0.248 Jupiters,15.019,Gas Giant,0.944 x Jupiter,0
3384,Kepler-686 b,Unknown,15.524,Gas Giant,1.084 x Jupiter,0
3385,Kepler-687 b,12.2 Earths,15.394,Neptune-like,0.314 x Jupiter,0
3386,Kepler-688 b,0.216 Jupiters,15.732,Gas Giant,0.871 x Jupiter,0
3387,Kepler-689 b,8.7 Earths,15.592,Neptune-like,0.258 x Jupiter,0
3388,Kepler-68 b,7.65 Earths,9.99,Neptune-like,0.21 x Jupiter,0
3389,Kepler-68 c,2.04 Earths,9.99,Super Earth,1.0 x Earth,0
3390,Kepler-68 d,0.84007 Jupiters,9.99,Gas Giant,1.24 x Jupiter,0.11
3391,Kepler-690 b,29.6 Earths,15.672,Neptune-like,0.531 x Jupiter,0
3392,Kepler-691 b,5.02 Earths,15.838,Super Earth,2.09 x Earth,0
3393,Kepler-692 b,9.85 Earths,15.55,Neptune-like,0.277 x Jupiter,0
3394,Kepler-693 b,0.232 Jupiters,16.414,Gas Giant,0.908 x Jupiter,0
3395,Kepler-694 b,8.25 Earths,15.086,Neptune-like,0.25 x Jupiter,0
3396,Kepler-695 b,0.196 Jupiters,15.113,Gas Giant,0.822 x Jupiter,0
3397,Kepler-696 b,31.3 Earths,15.239,Neptune-like,0.548 x Jupiter,0
3398,Kepler-697 b,16 Earths,15.546,Neptune-like,0.368 x Jupiter,0
3399,Kepler-698 b,13.1 Earths,15.432,Neptune-like,0.328 x Jupiter,0
3400,Kepler-699 b,Unknown,15.474,Gas Giant,1.259 x Jupiter,0
3401,Kepler-69 b,5.65 Earths,14.0,Neptune-like,0.2 x Jupiter,0.16
3402,Kepler-69 c,3.57 Earths,14.0,Super Earth,1.71 x Earth,0.14
3403,Kepler-6 b,0.668 Jupiters,13.171,Gas Giant,1.304 x Jupiter,< 0.06
3404,Kepler-700 b,30 Earths,15.192,Neptune-like,0.534 x Jupiter,0
3405,Kepler-701 b,8.45 Earths,14.968,Neptune-like,0.253 x Jupiter,0
3406,Kepler-702 b,0.194 Jupiters,15.31,Gas Giant,0.818 x Jupiter,0
3407,Kepler-703 b,0.161 Jupiters,15.253,Gas Giant,0.732 x Jupiter,0
3408,Kepler-704 b,7.32 Earths,15.249,Neptune-like,0.233 x Jupiter,0
3409,Kepler-705 b,5.1 Earths,15.852,Neptune-like,2.11 x Earth,0
3410,Kepler-706 b,Unknown,15.166,Gas Giant,1.175 x Jupiter,0
3411,Kepler-707 b,2.33 Earths,14.997,Super Earth,1.33 x Earth,0
3412,Kepler-708 b,8.91 Earths,15.508,Neptune-like,0.261 x Jupiter,0
3413,Kepler-709 b,8.85 Earths,15.197,Neptune-like,0.261 x Jupiter,0
3414,Kepler-710 b,4.19 Earths,15.011,Super Earth,1.88 x Earth,0
3415,Kepler-711 b,11.5 Earths,15.329,Neptune-like,0.304 x Jupiter,0
3416,Kepler-712 b,11.5 Earths,15.854,Neptune-like,0.304 x Jupiter,0
3417,Kepler-712 c,21 Earths,15.854,Neptune-like,0.433 x Jupiter,0
3418,Kepler-713 b,6.71 Earths,15.019,Neptune-like,0.221 x Jupiter,0
3419,Kepler-714 b,0.213 Jupiters,15.241,Gas Giant,0.863 x Jupiter,0
3420,Kepler-715 b,13.5 Earths,15.033,Neptune-like,0.335 x Jupiter,0
3421,Kepler-716 b,8.75 Earths,15.156,Neptune-like,0.259 x Jupiter,0
3422,Kepler-716 c,2.52 Earths,15.156,Super Earth,1.393 x Earth,0
3423,Kepler-717 b,6.44 Earths,15.624,Neptune-like,0.216 x Jupiter,0
3424,Kepler-718 b,131 Jupiters,15.246,Gas Giant,1.477 x Jupiter,0
3425,Kepler-719 b,0.172 Jupiters,15.904,Gas Giant,0.76 x Jupiter,0
3426,Kepler-720 b,0.168 Jupiters,15.164,Gas Giant,0.75 x Jupiter,0
3427,Kepler-721 b,7.46 Earths,15.643,Neptune-like,0.236 x Jupiter,0
3428,Kepler-722 b,7.41 Earths,15.373,Neptune-like,0.235 x Jupiter,0
3429,Kepler-722 c,8.35 Earths,15.373,Neptune-like,0.252 x Jupiter,0
3430,Kepler-723 b,Unknown,15.201,Gas Giant,1.088 x Jupiter,0
3431,Kepler-724 b,10.8 Earths,15.121,Neptune-like,0.294 x Jupiter,0
3432,Kepler-725 b,0.25 Jupiters,14.993,Gas Giant,0.948 x Jupiter,0
3433,Kepler-726 b,10.7 Earths,15.035,Neptune-like,0.291 x Jupiter,0
3434,Kepler-727 b,6.94 Earths,15.352,Neptune-like,0.226 x Jupiter,0
3435,Kepler-728 b,11.1 Earths,15.525,Neptune-like,0.298 x Jupiter,0
3436,Kepler-729 b,12.5 Earths,15.547,Neptune-like,0.319 x Jupiter,0
3437,Kepler-730 b,Unknown,15.611,Gas Giant,1.1 x Jupiter,0
3438,Kepler-730 c,3.09 Earths,15.611,Super Earth,1.569 x Earth,0
3439,Kepler-731 b,Unknown,15.285,Gas Giant,1.238 x Jupiter,0
3440,Kepler-732 b,5.39 Earths,15.052,Neptune-like,2.18 x Earth,0
3441,Kepler-732 c,2.15 Earths,15.052,Super Earth,1.27 x Earth,0
3442,Kepler-733 b,8.35 Earths,15.395,Neptune-like,0.252 x Jupiter,0
3443,Kepler-734 b,12.4 Earths,14.412,Neptune-like,0.318 x Jupiter,0
3444,Kepler-735 b,9.01 Earths,15.385,Neptune-like,0.263 x Jupiter,0
3445,Kepler-736 b,8.91 Earths,15.742,Neptune-like,0.261 x Jupiter,0
3446,Kepler-737 b,4.5 Earths,15.146,Super Earth,1.96 x Earth,0
3447,Kepler-738 b,6.8 Earths,15.591,Neptune-like,0.223 x Jupiter,0
3448,Kepler-739 b,11 Earths,15.453,Neptune-like,0.296 x Jupiter,0
3449,Kepler-740 b,18.9 Earths,15.923,Neptune-like,0.408 x Jupiter,0
3450,Kepler-741 b,9.11 Earths,15.046,Neptune-like,0.265 x Jupiter,0
3451,Kepler-742 b,10.6 Earths,15.172,Neptune-like,0.289 x Jupiter,0
3452,Kepler-743 b,1.92 Earths,12.541,Super Earth,1.21 x Earth,0
3453,Kepler-744 b,3.26 Earths,13.584,Super Earth,1.62 x Earth,0
3454,Kepler-745 b,5.31 Earths,15.163,Neptune-like,2.16 x Earth,0
3455,Kepler-746 b,1.41 Earths,13.611,Super Earth,1.11 x Earth,0
3456,Kepler-747 b,24.1 Earths,15.724,Neptune-like,0.47 x Jupiter,0
3457,Kepler-748 b,6.9 Earths,15.219,Neptune-like,0.225 x Jupiter,0
3458,Kepler-749 b,9.8 Earths,15.773,Neptune-like,0.277 x Jupiter,0
3459,Kepler-74 b,0.63 Jupiters,14.23,Gas Giant,0.96 x Jupiter,0
3460,Kepler-750 b,9.64 Earths,14.467,Neptune-like,0.274 x Jupiter,0
3461,Kepler-750 c,3.26 Earths,14.467,Super Earth,1.62 x Earth,0
3462,Kepler-751 b,6.62 Earths,14.98,Neptune-like,0.219 x Jupiter,0
3463,Kepler-752 b,8.3 Earths,15.719,Neptune-like,0.251 x Jupiter,0
3464,Kepler-753 b,4.31 Earths,14.475,Super Earth,1.91 x Earth,0
3465,Kepler-754 b,4.7 Earths,15.126,Super Earth,2.01 x Earth,0
3466,Kepler-755 b,3.75 Earths,14.024,Super Earth,1.76 x Earth,0
3467,Kepler-755 c,2.13 Earths,14.024,Super Earth,1.26 x Earth,0
3468,Kepler-756 b,1.46 Earths,15.391,Super Earth,1.12 x Earth,0
3469,Kepler-757 b,2.42 Earths,14.764,Super Earth,1.36 x Earth,0
3470,Kepler-758 b,6.71 Earths,14.327,Neptune-like,0.221 x Jupiter,0
3471,Kepler-758 c,3.5 Earths,14.327,Super Earth,1.69 x Earth,0
3472,Kepler-758 d,5.14 Earths,14.327,Neptune-like,2.12 x Earth,0
3473,Kepler-758 e,2.96 Earths,14.327,Super Earth,1.53 x Earth,0
3474,Kepler-759 b,5.77 Earths,14.787,Neptune-like,0.203 x Jupiter,0
3475,Kepler-75 b,10.1 Jupiters,15.179,Gas Giant,1.05 x Jupiter,0.57
3476,Kepler-760 b,9.59 Earths,15.073,Neptune-like,0.273 x Jupiter,0
3477,Kepler-760 c,2.79 Earths,15.073,Super Earth,1.48 x Earth,0
3478,Kepler-761 b,4.78 Earths,14.709,Super Earth,2.03 x Earth,0
3479,Kepler-762 b,Unknown,15.427,Gas Giant,1.131 x Jupiter,0
3480,Kepler-763 b,1.98 Earths,15.682,Super Earth,1.22 x Earth,0
3481,Kepler-764 b,3.33 Earths,15.3,Super Earth,1.64 x Earth,0
3482,Kepler-765 b,6.48 Earths,14.6,Neptune-like,0.217 x Jupiter,0
3483,Kepler-766 b,11.4 Earths,15.648,Neptune-like,0.302 x Jupiter,0
3484,Kepler-767 b,35.7 Earths,15.418,Neptune-like,0.592 x Jupiter,0
3485,Kepler-768 b,3.86 Earths,15.723,Super Earth,1.79 x Earth,0
3486,Kepler-769 b,8.85 Earths,14.76,Neptune-like,0.261 x Jupiter,0
3487,Kepler-769 c,3.86 Earths,14.76,Super Earth,1.79 x Earth,0
3488,Kepler-76 b,2.01 Jupiters,13.276,Gas Giant,1.36 x Jupiter,< 0.078
3489,Kepler-770 b,5.9 Earths,14.597,Neptune-like,0.205 x Jupiter,0
3490,Kepler-770 c,1.87 Earths,14.597,Super Earth,1.2 x Earth,0
3491,Kepler-770 d,2.54 Earths,14.597,Super Earth,1.4 x Earth,0
3492,Kepler-771 b,3.97 Earths,14.746,Super Earth,1.82 x Earth,0
3493,Kepler-772 b,3.97 Earths,13.956,Super Earth,1.82 x Earth,0
3494,Kepler-773 b,2.63 Earths,13.28,Super Earth,1.43 x Earth,0
3495,Kepler-774 b,10.2 Earths,12.77,Neptune-like,0.283 x Jupiter,0
3496,Kepler-775 b,1.81 Earths,13.467,Super Earth,1.19 x Earth,0
3497,Kepler-776 b,2.18 Earths,15.42,Super Earth,1.28 x Earth,0
3498,Kepler-777 b,2.76 Earths,15.94,Super Earth,1.47 x Earth,0
3499,Kepler-778 b,3.46 Earths,15.751,Super Earth,1.68 x Earth,0
3500,Kepler-779 b,0.721 Earths,15.634,Terrestrial,0.92 x Earth,0
3501,Kepler-77 b,0.43 Jupiters,13.917,Gas Giant,0.96 x Jupiter,0
3502,Kepler-780 b,0.64 Earths,13.339,Terrestrial,0.89 x Earth,0
3503,Kepler-781 b,8.7 Earths,15.951,Neptune-like,0.258 x Jupiter,0
3504,Kepler-782 b,10.4 Earths,12.73,Neptune-like,0.286 x Jupiter,0
3505,Kepler-783 b,0.399 Earths,13.938,Terrestrial,0.78 x Earth,0
3506,Kepler-783 c,6.04 Earths,13.938,Neptune-like,0.208 x Jupiter,0
3507,Kepler-784 b,3.12 Earths,13.263,Super Earth,1.58 x Earth,0
3508,Kepler-785 b,Unknown,15.762,Gas Giant,1.162 x Jupiter,0
3509,Kepler-786 b,6.48 Earths,14.946,Neptune-like,0.217 x Jupiter,0
3510,Kepler-787 b,2.18 Earths,15.861,Super Earth,1.28 x Earth,0
3511,Kepler-788 b,7.04 Earths,15.26,Neptune-like,0.227 x Jupiter,0
3512,Kepler-789 b,5.14 Earths,14.509,Neptune-like,2.12 x Earth,0
3513,Kepler-78 b,3.1783 Earths,11.529,Super Earth,1.121 x Earth,0
3514,Kepler-790 b,5.39 Earths,15.195,Neptune-like,2.18 x Earth,0
3515,Kepler-791 b,9.53 Earths,14.369,Neptune-like,0.272 x Jupiter,0
3516,Kepler-792 b,4.5 Earths,14.976,Super Earth,1.96 x Earth,0
3517,Kepler-793 b,2.45 Earths,14.601,Super Earth,1.37 x Earth,0
3518,Kepler-794 b,5.1 Earths,13.442,Neptune-like,2.11 x Earth,0
3519,Kepler-795 b,3.46 Earths,13.311,Super Earth,1.68 x Earth,0
3520,Kepler-796 b,2.24 Earths,12.987,Super Earth,1.3 x Earth,0
3521,Kepler-797 b,5.35 Earths,14.542,Neptune-like,2.17 x Earth,0
3522,Kepler-798 b,6.3 Earths,14.165,Neptune-like,0.213 x Jupiter,0
3523,Kepler-799 b,37.9 Earths,15.12,Neptune-like,0.614 x Jupiter,0
3524,Kepler-79 b,10.9 Earths,13.882,Neptune-like,0.31 x Jupiter,0.02
3525,Kepler-79 c,5.9 Earths,13.882,Neptune-like,0.332 x Jupiter,0.03
3526,Kepler-79 d,6 Earths,13.882,Neptune-like,0.639 x Jupiter,0.03
3527,Kepler-79 e,4.1 Earths,13.882,Neptune-like,0.311 x Jupiter,0.01
3528,Kepler-7 b,0.441 Jupiters,12.865,Gas Giant,1.622 x Jupiter,< 0.026
3529,Kepler-800 b,8.5 Earths,15.748,Neptune-like,0.254 x Jupiter,0
3530,Kepler-801 b,4.66 Earths,15.276,Super Earth,2.0 x Earth,0
3531,Kepler-802 b,12.3 Earths,14.811,Neptune-like,0.316 x Jupiter,0
3532,Kepler-803 b,13.8 Earths,13.63,Neptune-like,0.338 x Jupiter,0
3533,Kepler-804 b,4.42 Earths,13.736,Super Earth,1.94 x Earth,0
3534,Kepler-804 c,1.55 Earths,13.736,Super Earth,1.14 x Earth,0
3535,Kepler-805 b,8.7 Earths,12.505,Neptune-like,0.258 x Jupiter,0
3536,Kepler-806 b,1.55 Earths,11.591,Super Earth,1.14 x Earth,0
3537,Kepler-807 b,0.242 Jupiters,15.069,Gas Giant,0.93 x Jupiter,0
3538,Kepler-808 b,2.73 Earths,14.354,Super Earth,1.46 x Earth,0
3539,Kepler-809 b,9.32 Earths,14.68,Neptune-like,0.269 x Jupiter,0
3540,Kepler-80 b,6.93 Earths,14.756,Neptune-like,0.238 x Jupiter,0
3541,Kepler-80 c,6.74 Earths,14.756,Neptune-like,0.244 x Jupiter,0
3542,Kepler-80 d,6.75 Earths,14.756,Super Earth,1.53 x Earth,0
3543,Kepler-80 e,4.13 Earths,14.756,Super Earth,1.6 x Earth,0
3544,Kepler-80 f,1.92 Earths,14.756,Super Earth,1.21 x Earth,0
3545,Kepler-80 g,1.51 Earths,14.756,Super Earth,1.13 x Earth,0
3546,Kepler-810 b,4.38 Earths,15.761,Super Earth,1.93 x Earth,0
3547,Kepler-811 b,7.75 Earths,13.958,Neptune-like,0.241 x Jupiter,0
3548,Kepler-812 b,12.3 Earths,13.749,Neptune-like,0.317 x Jupiter,0
3549,Kepler-813 b,5.22 Earths,14.535,Neptune-like,2.14 x Earth,0
3550,Kepler-814 b,5.14 Earths,14.666,Neptune-like,2.12 x Earth,0
3551,Kepler-815 b,15.8 Earths,13.231,Neptune-like,0.367 x Jupiter,0
3552,Kepler-816 b,0.234 Jupiters,15.936,Gas Giant,0.914 x Jupiter,0
3553,Kepler-817 b,0.189 Jupiters,15.597,Gas Giant,0.806 x Jupiter,0
3554,Kepler-818 b,22.9 Earths,15.057,Neptune-like,0.456 x Jupiter,0
3555,Kepler-819 b,8.05 Earths,15.066,Neptune-like,0.246 x Jupiter,0
3556,Kepler-81 b,17.2 Earths,15.004,Super Earth,0.216 x Jupiter,0
3557,Kepler-81 c,4.3 Earths,15.004,Neptune-like,0.211 x Jupiter,0
3558,Kepler-81 d,1.92 Earths,15.004,Super Earth,1.21 x Earth,0
3559,Kepler-820 b,30.8 Earths,13.944,Neptune-like,0.543 x Jupiter,0
3560,Kepler-821 b,2.27 Earths,14.818,Super Earth,1.31 x Earth,0
3561,Kepler-822 b,3.78 Earths,14.597,Super Earth,1.77 x Earth,0
3562,Kepler-823 b,3.09 Earths,14.762,Super Earth,1.57 x Earth,0
3563,Kepler-824 b,4.16 Earths,14.883,Super Earth,1.87 x Earth,0
3564,Kepler-825 b,2.96 Earths,14.145,Super Earth,1.53 x Earth,0
3565,Kepler-825 c,4.04 Earths,14.145,Super Earth,1.84 x Earth,0
3566,Kepler-826 b,2.1 Earths,13.412,Super Earth,1.25 x Earth,0
3567,Kepler-827 b,27 Earths,15.862,Neptune-like,0.502 x Jupiter,0
3568,Kepler-828 b,2.89 Earths,15.044,Super Earth,1.51 x Earth,0
3569,Kepler-829 b,5.1 Earths,14.921,Neptune-like,2.11 x Earth,0
3570,Kepler-82 b,12.15 Earths,15.138,Neptune-like,0.363 x Jupiter,0
3571,Kepler-82 c,13.9 Earths,15.138,Neptune-like,0.476 x Jupiter,0.01
3572,Kepler-82 d,3.78 Earths,15.138,Super Earth,1.77 x Earth,0
3573,Kepler-82 e,6.66 Earths,15.138,Neptune-like,0.22 x Jupiter,0
3574,Kepler-82 f,20.9 Earths,15.138,Neptune-like,0.432 x Jupiter,0
3575,Kepler-830 b,3.53 Earths,14.789,Super Earth,1.7 x Earth,0
3576,Kepler-831 b,2.15 Earths,13.631,Super Earth,1.27 x Earth,0
3577,Kepler-832 b,4.9 Earths,15.859,Super Earth,2.06 x Earth,0
3578,Kepler-833 b,4.74 Earths,15.469,Super Earth,2.02 x Earth,0
3579,Kepler-834 b,4.74 Earths,15.928,Super Earth,2.02 x Earth,0
3580,Kepler-835 b,8.2 Earths,15.89,Neptune-like,0.249 x Jupiter,0
3581,Kepler-836 b,7.9 Earths,14.587,Neptune-like,0.244 x Jupiter,0
3582,Kepler-837 b,7.08 Earths,15.229,Neptune-like,0.228 x Jupiter,0
3583,Kepler-838 b,7.9 Earths,15.23,Neptune-like,0.244 x Jupiter,0
3584,Kepler-839 b,7.13 Earths,13.563,Neptune-like,0.229 x Jupiter,0
3585,Kepler-83 b,0.132 Jupiters,15.783,Gas Giant,0.252 x Jupiter,0
3586,Kepler-83 c,11.4 Earths,15.783,Super Earth,0.211 x Jupiter,0
3587,Kepler-83 d,24.6 Earths,15.783,Super Earth,1.94 x Earth,0
3588,Kepler-840 b,135 Jupiters,14.129,Gas Giant,1.523 x Jupiter,0
3589,Kepler-841 b,23.8 Earths,15.744,Neptune-like,0.467 x Jupiter,0
3590,Kepler-842 b,3.19 Earths,15.13,Super Earth,1.6 x Earth,0
3591,Kepler-843 b,7.22 Earths,15.248,Neptune-like,0.231 x Jupiter,0
3592,Kepler-844 b,3.46 Earths,15.796,Super Earth,1.68 x Earth,0
3593,Kepler-845 b,4.82 Earths,14.639,Super Earth,2.04 x Earth,0
3594,Kepler-846 b,6.71 Earths,15.604,Neptune-like,0.221 x Jupiter,0
3595,Kepler-847 b,1.76 Earths,14.78,Super Earth,1.18 x Earth,0
3596,Kepler-848 b,3.53 Earths,14.011,Super Earth,1.7 x Earth,0
3597,Kepler-849 b,0.127 Jupiters,12.836,Gas Giant,0.637 x Jupiter,0
3598,Kepler-84 b,40 Earths,14.79,Super Earth,2.23 x Earth,0
3599,Kepler-84 c,20.2 Earths,14.79,Super Earth,0.211 x Jupiter,0
3600,Kepler-84 d,2.48 Earths,14.79,Super Earth,1.38 x Earth,0
3601,Kepler-84 e,7.27 Earths,14.79,Neptune-like,0.232 x Jupiter,0
